title,price,Brand,Type,Usage,Grade,Size,PCT Elongation
Brand:  KamdhenuDiameter:  8mmType:  TMT CoilUsage/Application:  ConstructionGrade:  Fe 500Material:  Stainless Steel
Diameter:  above 18mmGrade:  Fe 500DMaterial:  Mild SteelSingle Piece Length:  12 meter- 18 meterUsage/Application:  InfrastructureBrand:  Jindal Panther
Brand:  SAILDiameter:  10 mmUsage/Application:  ConstructionGrade:  Fe 500Material:  Mild SteelSingle Piece Length:  6 meter
We are offering our clients with an exhaustive range of Tata TMT Bars FE500D. It is highly durable and is appreciated for its corrosion resistance.
Diameter:  6mm- 8mmGrade:  Fe 550DMaterial:  Mild SteelSingle Piece Length:  Less than 6 meterBrand:  Matrika Engineering WorksUsage/Application:  Residential Buildings
"Diameter:  8mm, 10mm, 12mm, 16mm, 6mmBrand:  Essar Steel, Jindal Panther, Kamdhenu, Rathi, TATABeing a prominent firm, we are engaged in offering a distinguished assortment of TMT Bar."
Brand:  ALL LEADING BRANDSDiameter:  6 MM TO 32 MMType:  TMTUsage/Application:  MAKING BUILDINGSGrade:  ALL FE ARE AVAILABLEMaterial:  Mild Steel
"Grade:  Fe 500Material:  Mild SteelUsage/Application:  Residential BuildingsType:  TMT CoilBrand:  SAIL, RAIPUR, DURGAPURStandard:  IS 2062"
"Brand:  jsw, jindal panther, , sailDiameter:  12mmMaterial:  Mild SteelDelivery Period:  0-2 daysSAIL TMT Bars"
Brand:  TATAType:  TMT barUsage/Application:  Earthquake zoneGrade:  Fe550SDSize:  6mm to 40mm% elongation upto UTS:  8.0
"Keeping in mind ever-evolving requirements of our respected clients, we are offering a premium quality array of Industrial Alloy Steel Round Bars."
"Brand:  S J SteelDiameter:  08 mm, 10 mm, 12 mm, 16 mm, 20 mm, 25 mm, 28 mm, 32 mmType:  TMT CoilGrade:  Fe 500D, Fe 500Unit Length:  12 mStandard:  ASTM A615"
"Brand:  Jindal Panther, SAIL, VSPDiameter:  6 to 50 (mm)Grade:  CRMType:  CRSUnit Length:  12 m, CustomisedLength:  40 inches"
Brand:  SUJANAOur Tmt steel has the highest quality testing and conforms to FE 500. It is really hard on the outside for strong construction with a soft inner core to allow flexibility while bending and to withstand vibrations in
Brand:  Shree balajiGrade:  Fe 500DSize:  1-20mmLength:  Upto 6mMaterial:  MSShape:  Round
Brand:  Ambika Steel And CementDiameter:  32 mmType:  TMT BarUsage/Application:  IndustrialMaterial:  Stainless SteelUnit Length:  6 m
Brand:  R.K. EnterprisesThickness/Diameter:  3X3 Millimeter mmApplication:  TMT BARShape:  FlatIn order to cater the variegated demands of our
Brand:  TATADiameter:  10mmType:  TMT CoilGrade:  Fe 500DMaterial:  IronSingle Piece Length:  18 meter
Diameter:  8mmGrade:  Fe 600Material:  Mild SteelDelivery Details:  0-2 daysMAITHAN 600 PURE STEEL 12MM FIXED 12MTR LENGTH
Diameter:  8MM - 25MMGrade:  Fe 550Material:  Mild SteelSingle Piece Length:  12 meter- 18 meterBrand:  ULTRA TMTUsage/Application:  Construction
Brand:  Jindal PantherDiameter:  12mmType:  Binding WiresUsage/Application:  ConstructionGrade:  Fe 500Material:  Mild Steel
Brand:  JSW SAIL RINL (VIZAG)Type:  TMT CoilGrade:  Fe 500Material:  Mild SteelDiameter:  8 mm 10 mm 12 mm 16 mm 20 mm 25 mm 32 mmSingle Piece Length:  12 meters
Brand:  Gallantt Friends Mono ET ElectrothermDiameter:  20mmUnit Length:  12 mGrade:  Fe 500Material:  Mild SteelSingle Piece Length:  12 meter
Diameter:  8mmGrade:  Fe 550Material:  IronSingle Piece Length:  12 meterBrand:  RAMRAJ FE-550 TMTUsage/Application:  Residential Buildings
Brand:  KALIKADiameter:  10mmType:  TMT BarsUsage/Application:  ConstructionGrade:  Fe 500Material:  Mild Steel
"Brand:  KamdhenuDiameter:  8mmUsage/Application:  Manufacturing, ConstructionGrade:  Fe 500Material:  Mild SteelSingle Piece Length:  40ft"
Brand:  TATADiameter:  12mmType:  TMTUsage/Application:  ConstructionGrade:  SDMaterial:  Mild Steel
Unit Length:  Up to 12 MeterUsage/Application:  ConstructionGrade:  Fe 500Single Piece Length:  12meterBrand:  SAILMaterial:  Mild Steel
